# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
1.008171660460197643e+02,7.951370706990020798e-01,5.952727272727272521e+02,1.500000000000000000e+01,1.530612244897959151e+01,7.072979627874417474e+01,6.337011756047910183e+01,8.720987862818595886e+02,1.798313716952552852e+02,4.849536418816457584e+00,4.444444444400000194e+00
8.062419696714023587e+01,6.071743884619556830e+00,7.458101265822784853e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.916393514538207299e+01,3.744845207487599481e+01,5.323693855457778454e+02,1.041036632118116358e+02,5.113839120748394862e+00,4.571428571400000251e+00
7.032219497664320329e+01,-3.328084852812578931e-01,8.301408450704225288e+02,1.500000000000000000e+01,2.142857142857142705e+01,2.557509949708337444e+02,2.084877040413139184e+02,6.832782145286751984e+03,1.517352911450504871e+04,4.503093574160669799e-01,1.533333333300000101e+00
8.139136287583883700e+01,-2.782374047818657603e-01,7.291499999999999773e+02,5.000000000000000000e+00,6.329113924050632889e+00,7.721734900488213782e+01,6.735981223101403259e+01,1.084477491033868773e+03,1.276572447360955721e+03,8.495228714013037807e-01,6.833333332999999676e+00
5.905876142692486042e+01,-1.657362252342627074e-01,1.020035087719298190e+03,2.100000000000000000e+01,3.750000000000000000e+01,5.120895568996835578e+01,7.389905395496343488e+01,3.842512814805631933e+02,4.130253785055509752e+02,9.303333438514092002e-01,4.071428571400000251e+00
9.022852055469714116e+01,-3.269014291205205036e-01,6.110421052631578505e+02,3.800000000000000000e+01,4.042553191489361097e+01,1.939519572010750892e+02,1.570283153616186098e+02,3.586790312875264135e+03,4.496958043403147713e+03,7.976036863712655522e-01,5.833333332999999676e+00
7.568142430287511502e+01,-3.366362251347561063e-01,7.933561643835616906e+02,1.000000000000000000e+00,1.388888888888888840e+00,2.280381303398378989e+01,2.739848427631115158e+01,3.688293305081576250e+02,1.294975495337244524e+02,2.848156832590141629e+00,5.299999999999999822e+00
5.872647486495925762e+01,-1.808062721355006841e-01,1.023035087719298190e+03,8.000000000000000000e+00,1.428571428571428470e+01,3.840247387864485518e+01,3.712813955569506419e+01,1.684632165846829253e+02,4.726563629820370238e+02,3.564179598087527379e-01,3.888888888899999952e+00
7.425793417245310479e+01,-7.844210472164486747e-02,8.109722222222221717e+02,9.000000000000000000e+00,1.267605633802816811e+01,3.447799870013045620e+01,4.373929558292824993e+01,1.019964581537886517e+02,4.397780173163079098e+02,2.319271408248408661e-01,5.388888888900000396e+00
7.613852210168595036e+01,-2.993932038528739903e-01,7.781866666666666106e+02,2.300000000000000000e+01,3.108108108108108070e+01,1.130541008974452524e+02,8.825373330030544139e+01,1.166390550869518165e+03,1.723497961173211479e+03,6.767577201399984643e-01,5.299999999999999822e+00
6.067482582003002278e+01,-2.760468255974354301e-01,9.894067796610169125e+02,7.000000000000000000e+00,1.206896551724137900e+01,3.512146411212536634e+01,4.018024846907768932e+01,3.181511357794298647e+02,6.519606611987339875e+02,4.879913079333009218e-01,7.833333332999999676e+00
7.905487529971182425e+01,-2.433971224816852963e-01,7.612987012987013031e+02,1.700000000000000000e+01,2.236842105263157876e+01,4.666510022433647720e+01,5.199571463492395651e+01,2.672045487967063764e+02,7.404527574549383644e+02,3.608664376038435151e-01,5.000000000000000000e+00
8.284813036175152945e+01,-3.239988500183581532e-01,7.270370370370370665e+02,1.000000000000000000e+01,1.250000000000000000e+01,3.458684721104252446e+01,4.632613853011182670e+01,1.341634909078936062e+03,6.971232794654122245e+02,1.924530350080643437e+00,6.000000000000000000e+00
7.941168388415604795e+01,-3.089576527786283000e-01,7.727631578947368780e+02,2.700000000000000000e+01,3.600000000000000000e+01,1.613897972818191136e+02,1.263392120096847435e+02,9.595879441787690212e+02,1.262042564969834075e+03,7.603451506421302630e-01,3.571428571399999807e+00
8.422881283706551869e+01,3.168249382423659610e-01,7.137560975609756042e+02,6.000000000000000000e+00,7.407407407407406552e+00,2.936509223508941346e+01,3.393623686028369946e+01,2.947000077550495689e+02,5.046309766606834728e+02,5.839911170439451293e-01,2.799999999999999822e+00
6.943033776054359407e+01,-3.053000727529056602e-01,8.661492537313432649e+02,2.000000000000000000e+00,3.030303030303030276e+00,2.653071404766158636e+01,4.141630982030647345e+01,8.832613708810755497e+02,1.104599958853803656e+02,7.996210427145030053e+00,6.833333332999999676e+00
9.111018140428195977e+01,8.518672180808703476e-02,6.609101123595505669e+02,3.000000000000000000e+00,3.409090909090908728e+00,2.392245996776023276e+01,3.800288280017182529e+01,5.562183991214973275e+02,3.803307308314019224e+02,1.462459785738600360e+00,1.800000000000000044e+00
5.664814620628230557e+01,-2.517952540272725970e-01,1.063072727272727207e+03,2.000000000000000000e+01,3.703703703703703809e+01,5.313957860968427838e+01,7.199018825775638675e+01,1.664653419325984942e+03,1.308997024538723736e+03,1.271701453952953420e+00,6.299999999999999822e+00
6.196530095263975113e+01,-2.939363410634693308e-01,9.722500000000000000e+02,2.800000000000000000e+01,4.745762711864406924e+01,6.531682888500650108e+01,5.626981760128031596e+01,9.440720515019803543e+02,8.300511280086905117e+02,1.137366144862459683e+00,7.000000000000000000e+00
8.180252270835553929e+01,-2.995121336546954782e-01,7.424050632911391858e+02,1.200000000000000000e+01,1.538461538461538503e+01,4.747468961295222556e+01,7.202590683973154739e+01,2.686924789410679296e+03,9.690271639476593464e+02,2.772806469598420698e+00,5.333333332999999676e+00
8.669520275957837896e+01,-1.156623193802533700e-01,7.110843373493976287e+02,1.300000000000000000e+01,1.585365853658536572e+01,1.281338857715898314e+02,1.159795193041907027e+02,3.477034370000068293e+02,1.332748988710411368e+03,2.608919158411442951e-01,6.333333332999999676e+00
6.415892678022309781e+01,-1.082140674871366059e-01,9.375645161290323131e+02,3.000000000000000000e+00,4.918032786885246033e+00,2.972938051109996493e+01,4.363207609679064092e+01,1.195984718665447872e+03,6.434337707307155370e+02,1.858753414989747776e+00,4.299999999999999822e+00
7.819735288238220505e+01,-3.276698276775899532e-01,7.693116883116882718e+02,2.000000000000000000e+00,2.631578947368420796e+00,2.537326608024570973e+01,4.009405381174952510e+01,1.458360478913172983e+03,2.284145405107467468e+02,6.384709465746809975e+00,4.000000000000000000e+00
6.118469897224360921e+01,-3.373243967610878857e-01,1.060145454545454641e+03,2.800000000000000000e+01,5.185185185185184764e+01,1.715243746850898958e+02,1.926802588613637681e+02,8.986783128592840512e+03,1.368771067498960292e+04,6.565585247950652681e-01,7.000000000000000000e+00
8.933897318221569606e+01,-2.591787497673374019e-01,6.725287356321839525e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.110328972481073251e+01,2.716094968732995341e+01,3.880957259033765467e+02,2.242109324034299505e+02,1.730940243382349530e+00,3.799999999999999822e+00
1.469421955685340890e+02,-3.929936738266832930e-02,4.330370370370370097e+02,1.060000000000000000e+02,7.910447761194029681e+01,2.737304480852563415e+02,1.930713041049012872e+02,5.301348026398222828e+03,1.397394118817047274e+04,3.793738613188122333e-01,2.799999999999999822e+00
8.000134899305622582e+01,-2.251755401983478178e-01,7.663157894736841627e+02,1.500000000000000000e+01,2.000000000000000000e+01,1.076785339177064884e+02,1.046497919126857141e+02,4.312831111953362779e+03,3.718166292673260614e+03,1.159934971292678307e+00,5.799999999999999822e+00
6.340692684803286738e+01,-2.511953460336625588e-01,9.514262295081966840e+02,1.800000000000000000e+01,3.000000000000000000e+01,4.704465963316133070e+01,4.996047071315262400e+01,7.405745485038058860e+02,5.931206425157339481e+02,1.248606936630367592e+00,8.000000000000000000e+00
8.468132722123777967e+01,-3.302884170023865362e-01,7.141585365853658232e+02,1.100000000000000000e+01,1.358024691358024683e+01,7.559770066396869481e+01,9.328205860234452018e+01,2.371005156170871487e+03,1.166724240090957665e+03,2.032189848036437763e+00,2.571428571399999807e+00
